variable,coefficient,abs_coefficient
AdjClosePrice_t-2,-1.0732486396893073,1.0732486396893073
AdjClosePrice,0.6252614062373225,0.6252614062373225
ROA_L1Q,0.6208190747443693,0.6208190747443693
FreeCashFlowYield_TTM_L1W,-0.6000551675468587,0.6000551675468587
GrossProfitability_TTM_L1Q,-0.5151962944555584,0.5151962944555584
FreeCashFlowYield_TTM,0.47924680617740256,0.47924680617740256
WorkingCapitalScaled_L1Q,-0.4666624793912951,0.4666624793912951
BookToMarket_L1W,0.41562028632650116,0.41562028632650116
AdjClosePrice_t-1,0.41292326863635725,0.41292326863635725
EarningsYield_L1W,0.40811503055601966,0.40811503055601966
EarningsYield_TTM,-0.31715753757251375,0.31715753757251375
BookToMarket_L2W,-0.2997513380948812,0.2997513380948812
DebtToAssets_L1Q,-0.2893572653878809,0.2893572653878809
DebtToAssets,0.2826321284518006,0.2826321284518006
WorkingCapitalScaled_L2Q,0.26792511183907014,0.26792511183907014
GrossProfitability_L2Q,0.2669541721462824,0.2669541721462824
ROA_TTM_L1Q,-0.2628655911865077,0.2628655911865077
EarningsYield_L2W,-0.25561325954445774,0.25561325954445774
OperatingMargin_TTM_L1Q,0.24983917436055447,0.24983917436055447
GrossProfitability_TTM_L2Q,0.2374349576936484,0.2374349576936484
EarningsYield_TTM_L2W,0.18987172684549178,0.18987172684549178
WorkingCapitalScaled,0.18769425090233383,0.18769425090233383
FreeCashFlowYield_TTM_L2W,0.17135842289108807,0.17135842289108807
GrossProfitability,-0.15197699867355496,0.15197699867355496
FreeCashFlowYield,0.14768214857389603,0.14768214857389603
Accruals_TTM_L2Q,0.13959604981923143,0.13959604981923143
GrossProfitability_L1Q,-0.13419521185586172,0.13419521185586172
Drawdown_12W,-0.1319033023301943,0.1319033023301943
OperatingMargin_L1Q,-0.1287768425486939,0.1287768425486939
ROA_L2Q,-0.11959719877242395,0.11959719877242395
FreeCashFlowYield_L1W,-0.11893363985446713,0.11893363985446713
AssetGrowth_L1Q,-0.09357026411263514,0.09357026411263514
EarningsYield,-0.0911472399931164,0.0911472399931164
OperatingMargin,0.08514968297881328,0.08514968297881328
Accruals_TTM,-0.08261476161038912,0.08261476161038912
Accruals,0.07313137557021036,0.07313137557021036
Momentum_12W,0.07252809676863639,0.07252809676863639
Accruals_L1Q,0.07085963879742264,0.07085963879742264
InvestmentIntensity,-0.05792492767968215,0.05792492767968215
Volatility_4W,-0.052452721119345264,0.052452721119345264
AssetGrowth_L2Q,0.05206445595868632,0.05206445595868632
InvestmentIntensity_L2Q,-0.05040298564969325,0.05040298564969325
WeeklyReturn_4W,0.05031881908225544,0.05031881908225544
Accruals_L2Q,0.043257922816645034,0.043257922816645034
AssetGrowth,-0.03764072149343682,0.03764072149343682
QuarterlyReleased,-0.030862132130606762,0.030862132130606762
NEWS_FINBERT_Negative_Mean,0.028806884941585127,0.028806884941585127
MarketCap_L2W,-0.01906036337249507,0.01906036337249507
NEWS_FINBERT_Neutral_Mean,-0.012822534200718473,0.012822534200718473
Volatility_12W,0.011447568222737875,0.011447568222737875
WeeklyReturn_1W,0.003424262106376678,0.003424262106376678
